pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm017,diagonal_covariance_laplace,native_combined_random_split_perm017_A,native_combined_random_split_perm017_B,-754.0853036430575,-754.2988589591737,0.21355531611618517,0.21355531611618517,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,17
native_combined_random_split_perm017,iqr_diagonal_laplace,native_combined_random_split_perm017_A,native_combined_random_split_perm017_B,-755.3861443803494,-755.3931624352982,0.00701805494884411,0.00701805494884411,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,17
native_combined_random_split_perm018,full_covariance_laplace,native_combined_random_split_perm018_A,native_combined_random_split_perm018_B,-753.952047021423,-754.6399040573193,0.6878570358962861,0.6878570358962861,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,18
native_combined_random_split_perm018,diagonal_covariance_laplace,native_combined_random_split_perm018_A,native_combined_random_split_perm018_B,-753.9502739187735,-754.6385057089458,0.6882317901722672,0.6882317901722672,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,18
native_combined_random_split_perm018,iqr_diagonal_laplace,native_combined_random_split_perm018_A,native_combined_random_split_perm018_B,-755.4186331593814,-755.3674516066769,-0.05118155270452007,0.05118155270452007,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,18
native_combined_random_split_perm019,full_covariance_laplace,native_combined_random_split_perm019_A,native_combined_random_split_perm019_B,-754.1941342354734,-754.1934625638828,-0.0006716715905668025,0.0006716715905668025,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,19
native_combined_random_split_perm019,diagonal_covariance_laplace,native_combined_random_split_perm019_A,native_combined_random_split_perm019_B,-754.1932162063165,-754.1922035073726,-0.0010126989438958844,0.0010126989438958844,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,19
native_combined_random_split_perm019,iqr_diagonal_laplace,native_combined_random_split_perm019_A,native_combined_random_split_perm019_B,-755.4461084941295,-755.3467064348742,-0.09940205925522605,0.09940205925522605,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,19
native_combined_random_split_perm020,full_covariance_laplace,native_combined_random_split_perm020_A,native_combined_random_split_perm020_B,-754.1888551259398,-754.1806931703987,-0.008161955541027055,0.008161955541027055,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,20
native_combined_random_split_perm020,diagonal_covariance_laplace,native_combined_random_split_perm020_A,native_combined_random_split_perm020_B,-754.1862446176865,-754.1793991642875,-0.006845453399023427,0.006845453399023427,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,20
native_combined_random_split_perm020,iqr_diagonal_laplace,native_combined_random_split_perm020_A,native_combined_random_split_perm020_B,-755.4190246318705,-755.343313293829,-0.07571133804140118,0.07571133804140118,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,20
native_combined_random_split_perm021,full_covariance_laplace,native_combined_random_split_perm021_A,native_combined_random_split_perm021_B,-754.0206923362131,-754.3669414472462,0.34624911103310296,0.34624911103310296,729.84925,729.91096,0.06171000000006188,native_combined_random_split,21
